countries,feature,value,confidence
Laotian,gray hair,no,0.71
Laotian,heavy makeup,no,0.76
Laotian,high cheekbones,no,0.1
Laotian,mouth open,no,0.72
Laotian,mustache,no,1.0
Laotian,narrow eyes,yes,0.03
Laotian,oval face,yes,0.77
Laotian,pale skin,no,0.58
Laotian,pointy nose,no,0.9
Laotian,race,asian,1.0
Laotian,receding hairline,no,0.35
Laotian,rosy cheeks,no,1.0
Laotian,sideburns,no,1.0
Laotian,straight hair,yes,0.1
Laotian,wavy hair,no,0.92
Laotian,wearing earrings,yes,0.08
Laotian,wearing hat,no,0.28
Laotian,wearing lipstick,no,0.44
Laotian,wearing necklace,no,0.24
Laotian,wearing necktie,no,1.0
Laotian,young,yes,0.36
Latvian,5oclock shadow,no,1.0
Latvian,arched eyebrows,no,0.03
Latvian,attractive,yes,0.1
Latvian,bags under eyes,no,1.0
Latvian,bald,no,0.72
Latvian,bangs,yes,0.27
Latvian,beard,no,1.0
Latvian,big lips,no,0.6
Latvian,big nose,no,1.0
Latvian,black hair,no,0.83
Latvian,blond hair,yes,0.36
Latvian,blurry,no,0.22
Latvian,brown hair,no,0.21
Latvian,bushy eyebrows,no,1.0
Latvian,chubby,no,0.72
Latvian,double chin,no,0.99
Latvian,expression,neutral,0.58
Latvian,gender,female,1.0
Latvian,glasses,no,1.0
Latvian,goatee,no,1.0
Latvian,gray hair,no,0.52
Latvian,heavy makeup,yes,0.32
Latvian,high cheekbones,no,0.41
Latvian,mouth open,no,1.0
Latvian,mustache,no,1.0
Latvian,narrow eyes,no,0.72
Latvian,oval face,yes,0.81
Latvian,pale skin,yes,0.09
Latvian,pointy nose,no,0.5
Latvian,race,white,1.0
Latvian,receding hairline,no,0.43
Latvian,rosy cheeks,no,0.62
Latvian,sideburns,no,1.0
Latvian,straight hair,yes,0.41
Latvian,wavy hair,no,0.66
Latvian,wearing earrings,yes,0.12
Latvian,wearing hat,no,1.0
Latvian,wearing lipstick,yes,0.61
Latvian,wearing necklace,no,0.1
Latvian,wearing necktie,no,0.98
Latvian,young,yes,0.26
Lituanian,5oclock shadow,no,1.0
Lituanian,arched eyebrows,no,0.32
Lituanian,attractive,no,0.04
Lituanian,bags under eyes,no,1.0
Lituanian,bald,no,0.73
Lituanian,bangs,yes,0.36
Lituanian,beard,no,1.0
Lituanian,big lips,no,0.71
Lituanian,big nose,no,1.0
Lituanian,black hair,no,0.73
Lituanian,blond hair,yes,0.27
Lituanian,blurry,no,0.19
Lituanian,brown hair,no,0.18
